fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
25,8.679,45.309,1.2216077003274344,0.11678048971821171,0.026333988339831263,0.09782224872440189,0.42759393386947403
26,8.679,45.573,1.2653580156828603,0.4738027072864026,0.42045462158442853,0.5751153290761154,0.5864624959199599
27,8.679,45.639,1.2080349371598436,0.45600016501017376,0.4669890809083597,0.4626361474077572,0.6161284265718582
28,8.679,45.705,1.1320662466217817,0.39772420447057516,0.47593009076023995,0.34282266227441394,0.5180928718702713
29,8.679,45.771,0.9978894535578128,0.32923730485147434,0.45779091398966093,0.18000334998653159,0.49804142389844125
30,8.679,45.837,0.7899378657980569,0.27616926351018806,0.5004762159068054,0.11937886202623525,0.39804430973453464
31,8.679,45.903,0.6308865236852288,0.267685942889284,0.5042373110129311,0.11473863698595332,0.43110332012417063
32,8.679,45.969,0.4069192582475915,0.22329120356438187,0.5643634214405069,0.07928519985619459,0.44140743217040845
33,8.679,46.035,0.3008259381062228,0.19026803002939763,0.5075798484450308,0.05456362186181991,0.4405007304488558
34,8.679,46.101,0.3139652321603933,0.11038905015419666,0.5426819433212285,0.011932240419960166,0.3630866770452064
35,8.745,44.979,1.0820838353393072,0.07407543913419647,0.09270385417685545,0.053048201815041524,0.3686581246725588
36,8.745,45.045,1.1153123074172584,0.0813449132261228,0.05828989645987288,0.06223962702400192,0.40732197590262376
37,8.745,45.111,1.139693446241301,0.07295382705236961,0.05727788206906904,0.044088130982583414,0.36444631068434297
38,8.745,45.177,1.159381211244266,0.09108935614617113,0.04272128358267946,0.07633908522057607,0.41248968318473456
39,8.745,45.243,1.2251780505277128,0.1183181459844039,0.04590226856207731,0.07774791634379721,0.41163825617572153
40,8.745,45.309,1.3084663786790616,0.14727752108740097,0.049632507742361866,0.11925458757961933,0.44040064535710444
41,8.745,45.375,1.366772547784818,0.16334713104499915,0.100600413919987,0.13319928053787328,0.4662473594057773
42,8.745,45.507,1.4210963165043546,0.3613268522449617,0.30396575548160654,0.3291256922168684,0.6381495128232878
43,8.745,45.573,1.4384362378189757,0.5259878220762483,0.3080576447085687,0.5383496617307953,0.6980650669096646
44,8.745,45.639,1.3710579646337222,0.5550856978009195,0.3890212840238337,0.38706506619621933,0.7740393273155155
45,8.745,45.705,1.2372438659027294,0.5252138156562252,0.4099787218885609,0.42370612919593387,0.7170407112831662
46,8.745,45.771,1.071522572633592,0.43880091744819966,0.44776262917622867,0.24225603400180537,0.6567512545431873
47,8.745,45.837,0.9179809038787932,0.3294191470164823,0.5547786531088051,0.16419996164625336,0.5651667354263264
48,8.745,45.903,0.6246538493692779,0.285849091420709,0.615462492235037,0.11968575192275026,0.5142181014819439
49,8.745,45.969,0.5208022237222604,0.18439388066141402,0.7043993851398304,0.04682017563044613,0.4003468569864099
50,8.745,46.035,0.3346090184039625,0.16408777740596261,0.6558213802560098,0.04644799497312793,0.4143589490050542
