fid,X,Y,Ex,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
380,9.801,45.639,0.6174591182094666,0.5628300523418224,0.4113153047909663,0.18294812760971987,0.42491653186215894,0.3561315883764582,0.1576410374983185,0.2894993389615804,0.562595257956097
381,9.801,45.705,0.4529979250432846,0.3816636963276009,0.3801419732437536,0.3735585850102238,0.4208824711360918,0.3008155999521286,0.08978062149780508,0.08442346710230149,0.5434753802788164
382,9.801,45.771,0.2321425187448031,0.23439178518365633,0.26899582188651533,0.5886725883703915,0.34859059566746603,0.16183082614798933,0.011746635451066861,0.005724740056561979,0.4285333870678542
383,9.801,45.837,0.0810808397914452,0.17338497573222622,0.12533821118140873,0.7507319538187246,0.1780737160416574,0.05971151422375197,0.0,8.015054966168669e-05,0.2910343438770722
384,9.801,45.903,0.0156557427355659,0.11090135364993374,0.05474157826729766,0.8559815522863303,0.07955796444138187,0.024331863113797987,0.0,3.907498725119193e-05,0.16884568335154534
385,9.801,45.969,0.0094390134203172,0.06334484151943455,0.021747884940348003,0.9190592861757969,0.03494905371967711,0.00635587874993177,0.0,0.0,0.0950861974578967
386,9.801,46.035,0.0078234995761458,0.03203581492217148,0.010516896601028666,0.9542944552018374,0.015756750314019952,0.004267344834700659,0.0,0.0,0.062496884594005146
387,9.801,46.101,0.0083744426206376,0.0979070443869943,0.05460113858529578,0.8622755464460449,0.06569339169888581,0.038008309540254887,0.0003112564669087774,0.006977897724928633,0.21483803555246073
388,9.801,46.167,0.0082212424355544,0.0976730115340399,0.05586842434740021,0.8646063419671053,0.06989916753335981,0.03619215021536097,0.00016356062279011978,0.006977897724928633,0.2194192575584477
389,9.801,46.233,0.0044933004368456,0.10326879272008707,0.06429877619703495,0.8516052228090858,0.07952627978897721,0.042566494525570944,0.0003187266221145881,0.007103625611864458,0.24667620149591113
390,9.801,46.299,0.0020630119108146,0.02984034738432066,0.01859836225040282,0.9545942457248154,0.026551106171285154,0.008803271300631845,0.0,0.0,0.079863884655273
391,9.801,46.365,0.000652733692004,0.029813280898707568,0.018933732772195407,0.9531485501365078,0.022062637602347196,0.013956181740210722,0.0,0.0,0.06899400423105911
392,9.867,45.045,0.5590076595400586,0.8619213977950653,0.0773901959561923,0.08121648484189282,0.08347861338834696,0.06352562984859683,0.38840053690486515,0.5522928744024792,0.2683880882362441
393,9.867,45.111,0.6325725093741821,0.8801863803660563,0.12877828582532114,0.06292983475278482,0.11014539454761327,0.13458065013415782,0.27555355309188817,0.6597570214212669,0.35407704101262166
394,9.867,45.177,0.7356434676771897,0.9219687736649931,0.12593684587488221,0.04862850001027378,0.107064280002957,0.1322675560628963,0.23207925575990562,0.7446040503231638,0.37006697570134006
395,9.867,45.243,0.7992696937826205,0.9378843705655959,0.13849060183325487,0.03876109360036105,0.11771251450577293,0.1454684234322828,0.1483431335546161,0.8112082798947843,0.390299312627787
396,9.867,45.309,0.8276670487071521,0.9471024061857243,0.13718103386301161,0.03650659032917316,0.1307546140061048,0.12985745413033256,0.1055610756158319,0.8641804748099117,0.3821981176344248
397,9.867,45.375,0.884297588159346,0.9264664152816867,0.15212848586298341,0.04359559256116907,0.14413942127484522,0.14486515044857293,0.11791755804243033,0.8929439381269897,0.3959151002223756
398,9.867,45.441,0.9573350351931846,0.8944722832343194,0.20283706197346388,0.03510444202787784,0.18057338783928853,0.2048028697974689,0.12078351146587386,0.906310972368806,0.4908279701007905
399,9.867,45.507,0.9081918818152448,0.8525554794114691,0.2550784562791694,0.03474599892739491,0.23205675510660692,0.25252447564026087,0.18992345079508058,0.8256953923039999,0.5474269887878205
400,9.867,45.573,0.7565333386637655,0.7271917769914708,0.3619622554354822,0.06979711759781279,0.35287707225840775,0.3345849121643007,0.19655614140910035,0.5729137285564718,0.6179345430172763
401,9.867,45.639,0.5746457563922063,0.5451004494930385,0.35174843259712796,0.2443908150254818,0.3880550959085863,0.27975215741479315,0.13792993957896052,0.2828168349015043,0.5181207127913617
402,9.867,45.705,0.4236933854442509,0.36870596917597176,0.3159787929461845,0.4256994208437037,0.3773322541647623,0.22240904560905533,0.05991890454974698,0.06542328610607359,0.46712362993524886
403,9.867,45.771,0.2184590789942286,0.2498326068889245,0.18850005682187854,0.6291875350432474,0.2519722453996837,0.10568889566988338,0.002678563060557119,0.002115234873529023,0.3154967539477179
404,9.867,45.837,0.0753386021063125,0.20299287906075938,0.1309519113868663,0.7127195950715073,0.17935689727285273,0.06911291597535514,0.0,0.0008789237056876553,0.2616894906826589
405,9.867,45.903,0.0209906934693652,0.14135840216095572,0.07065481350589975,0.8158903160960639,0.09954357561442813,0.0345404178745978,0.0,0.0008378481432773311,0.1731219692008351
406,9.867,45.969,0.0094113315535953,0.08547793769175765,0.03994449172673945,0.8854860987758797,0.06154020558124471,0.014270024152927925,0.0,0.0008357854995735474,0.12681835136144448
407,9.867,46.035,0.0075757266688415,0.04130842433475105,0.01265507200891461,0.9442932489319397,0.02101311671886344,0.0030532895730657522,0.0,0.0,0.06726109291445632
