fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
640,0.25862068965517243,2.0,0.83401692850706,3.0,0.2156940332345845,2.0,1.0,1.0,9.0,0.0,5.0,0.0
641,0.1724137931034483,2.0,0.49023478550781563,2.0,0.08452323888065787,2.0,3.0,8.0,1.0,1.0,3.0,3.0
642,0.06896551724137931,1.0,0.3569902367099117,2.0,0.024620016324821498,1.0,0.0,26.0,1.0,3.0,0.0,42.0
643,0.034482758620689655,1.0,0.33601821105686525,2.0,0.011586834864029836,1.0,0.0,31.0,1.0,4.0,0.0,50.0
644,0.017241379310344827,1.0,0.30471242233287055,2.0,0.00525366245401501,1.0,0.0,33.0,1.0,5.0,0.0,54.0
645,0.017241379310344827,1.0,0.06791262029350185,1.0,0.0011709072464396871,1.0,0.0,33.0,0.0,15.0,0.0,57.0
646,0.017241379310344827,1.0,0.037760317005809695,1.0,0.0006510399483760293,1.0,0.0,33.0,0.0,17.0,0.0,57.0
647,0.017241379310344827,1.0,0.04314259650056377,1.0,0.0007438378706993754,1.0,0.0,33.0,0.0,16.0,0.0,57.0
648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
652,0.39655172413793105,3.0,1.5518316659407558,3.0,0.6153815227006446,3.0,12.0,0.0,22.0,0.0,19.0,0.0
653,0.41379310344827586,3.0,1.5013343698916692,3.0,0.6212418082310356,3.0,13.0,0.0,21.0,0.0,19.0,0.0
654,0.43103448275862066,3.0,1.5742038673120284,3.0,0.6785361497034605,3.0,15.0,0.0,22.0,0.0,21.0,0.0
655,0.4482758620689655,3.0,1.6286162630079253,3.0,0.7300693592794147,3.0,16.0,0.0,23.0,0.0,23.0,0.0
656,0.4827586206896552,3.0,1.5738210035199078,3.0,0.7597756568716797,3.0,19.0,0.0,22.0,0.0,24.0,0.0
657,0.5,3.0,1.5578243681843358,3.0,0.7789121840921679,3.0,20.0,0.0,22.0,0.0,25.0,0.0
658,0.5517241379310345,3.0,1.349757888659878,3.0,0.7446940075364844,3.0,23.0,0.0,18.0,0.0,24.0,0.0
659,0.5344827586206896,3.0,1.5057349602844843,3.0,0.8047893753244657,3.0,22.0,0.0,21.0,0.0,26.0,0.0
660,0.5172413793103449,3.0,1.3884781040398981,3.0,0.7181783296758094,3.0,21.0,0.0,19.0,0.0,23.0,0.0
661,0.4827586206896552,3.0,1.0755365916131194,3.0,0.5192245614684025,3.0,19.0,0.0,13.0,0.0,16.0,0.0
662,0.3275862068965517,2.0,1.2145603429973617,3.0,0.39787321580948054,3.0,7.0,0.0,16.0,0.0,12.0,0.0
663,0.27586206896551724,2.0,0.821366495426535,3.0,0.22658386080732,2.0,2.0,1.0,8.0,0.0,6.0,0.0
664,0.1896551724137931,2.0,0.48625060546343485,2.0,0.09221994241547901,2.0,3.0,6.0,1.0,1.0,1.0,1.0
665,0.08620689655172414,1.0,0.4282510121366802,2.0,0.03691819070143795,2.0,0.0,23.0,1.0,0.0,5.0,30.0
666,0.05172413793103448,1.0,0.3192213227687511,2.0,0.01651144772941816,1.0,0.0,29.0,1.0,4.0,0.0,47.0
667,0.017241379310344827,1.0,0.03481806749207869,1.0,0.0006003115084841153,1.0,0.0,33.0,0.0,17.0,0.0,57.0
668,0.017241379310344827,1.0,0.028321366057630522,1.0,0.0004882994147867332,1.0,0.0,33.0,0.0,17.0,0.0,57.0
669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
673,0.3793103448275862,3.0,1.5770897016620928,3.0,0.5982064385614835,3.0,11.0,0.0,23.0,0.0,18.0,0.0
674,0.41379310344827586,3.0,1.5372796829469226,3.0,0.6361157308745886,3.0,13.0,0.0,22.0,0.0,20.0,0.0
675,0.43103448275862066,3.0,1.604213649642086,3.0,0.6914714007077957,3.0,15.0,0.0,23.0,0.0,22.0,0.0
676,0.4482758620689655,3.0,1.6469657102442024,3.0,0.7382949735577459,3.0,16.0,0.0,24.0,0.0,23.0,0.0
677,0.4827586206896552,3.0,1.5721220528576132,3.0,0.7589554737933305,3.0,19.0,0.0,22.0,0.0,24.0,0.0
678,0.5,3.0,1.5215474603224504,3.0,0.7607737301612252,3.0,20.0,0.0,21.0,0.0,24.0,0.0
