fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
83,8.877,45.903,0.6136105365899996,0.3175171871323783,0.732800693,0.1353413989906306,0.5820525702416346
84,8.877,45.969,0.4031991498131618,0.1522070078584826,0.6104240959999999,0.032103602690570957,0.3859616425380052
85,8.877,46.035,0.2961361606776757,0.1341417602663941,1.0,0.01894394403016834,0.37836817430230346
86,8.877,46.101,0.1791369062441058,0.04354488972626446,0.997207736,0.005733517562497309,0.25723738092562476
87,8.943,44.913,0.5481838662038001,0.3237432008192539,0.093658178,0.22905968090489176,0.8715981794416321
88,8.943,44.979,0.7317523871765066,0.21060390780242902,0.019429403,0.16492380813370094,0.6529381393908603
89,8.943,45.045,0.8738827543360257,0.17534792927607784,0.102239036,0.17770078164672354,0.568559062554677
90,8.943,45.111,0.9122184004181884,0.13702800351492417,0.075535304,0.13828795424640675,0.48824266193581733
91,8.943,45.177,0.9686253479967296,0.1290364106546273,0.083105249,0.10440752926601239,0.43912502214484267
92,8.943,45.243,1.0600934003042903,0.1668243187166281,0.2862862679999999,0.11497102938063623,0.4772647071979947
93,8.943,45.309,1.163282043964827,0.18040391870623124,0.42323362,0.13355856851859899,0.4766687820447137
94,8.943,45.375,1.2680337317261854,0.23642541463299227,0.069195127,0.16128644136281867,0.48235619890359127
95,8.943,45.441,1.4236164311025703,0.3444461536467986,0.076829159,0.3119737727034399,0.6149356587980592
96,8.943,45.507,1.509583708342901,0.5335951578910224,0.077198114,0.43279958890019476,0.6952871643963989
97,8.943,45.573,1.5327324932131907,0.684819161940231,0.077777841,0.5749783235490111,0.7961474063861333
98,8.943,45.639,1.4874920997414969,0.6397861352606573,0.405009685,0.4946652909862356,0.737780234376966
99,8.943,45.705,1.365590439513112,0.5469560544455876,0.5362732509999999,0.4243901117160603,0.7564042303545125
100,8.943,45.771,1.1570572149752647,0.45308084722866737,0.55497311,0.28183995012018626,0.6820205925035201
101,8.943,45.837,0.9561123045261446,0.4081981862836917,0.445635374,0.22001857499521685,0.6388564359670061
102,8.943,45.903,0.6721949255880788,0.30249271882243595,0.745821719,0.12490630722427896,0.5241599071431977
103,8.943,45.969,0.4099280076545612,0.1567272492442613,0.148166431,0.03651309746670381,0.33566719888230584
104,9.009,44.913,0.4225056527163488,0.1993729137679925,0.215677693,0.14939325834100192,0.6874639433680545
105,9.009,44.979,0.6308028352602619,0.180148206134501,0.041379839,0.11266857974708487,0.6395683343498618
106,9.009,45.045,0.8278920569841417,0.15795418142847303,0.0370406859999999,0.140936466312022,0.5934311901044983
107,9.009,45.111,0.9385565106767342,0.12182691384286622,0.120279444,0.10422703003242408,0.5080061239940314
108,9.009,45.177,1.0289844714337435,0.1137947847152433,0.081087953,0.07875055243626762,0.42762132196585645
109,9.009,45.243,1.131293830488956,0.1375656530480042,0.280068251,0.1017285536175728,0.4745854783964418
110,9.009,45.309,1.2120086691277772,0.15221362699065155,0.035632942,0.11087276309974972,0.47229524057945066
111,9.009,45.375,1.3044870037117124,0.24223297901177898,0.0254697739999999,0.21239663643353715,0.5322286190623815
112,9.009,45.441,1.425752243351653,0.4075861078275619,0.037670652,0.44471427791535634,0.721559265641555
113,9.009,45.507,1.502613202584364,0.5945643929762792,0.07674976,0.558773992191644,0.7704128178225799
114,9.009,45.573,1.5305316492888503,0.6734099108485518,0.098019668,0.6071030568469835,0.7797065655830834
115,9.009,45.639,1.5110273670421663,0.6057893235218911,0.050293138,0.4653368911519153,0.7038781886163132
116,9.009,45.705,1.4026379393582102,0.5227881907080416,0.172646116,0.39673800286199307,0.6883825721660418
117,9.009,45.771,1.1989246223366063,0.47070903312145185,0.302827737,0.27709800824925307,0.7253418798494653
