fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
263,9.405,46.167,0.1481481481481481,-20.914069954393355,14.313917381623726,6.4231482090159036,-2.6641327836618363,-1.7086730607721448,-32.26439273970618,-12.658224861407204,-7.924198269972299
264,9.405,46.233,0.037037037037037,-21.80019146919016,15.402693446087653,7.507614950564932,-4.181182713088823,0.6160760418849416,-32.43297172029413,-14.983069103761807,-9.273038334373844
265,9.405,46.299,0.0,-22.0523874195437,15.804763999505392,7.864171441599927,-4.571398675949114,1.5146767437828457,-33.315932780648254,-17.74522029037101,-9.798602065040567
266,9.405,46.365,0.0,-22.317935322615497,16.255010132833817,8.028598878375101,-4.820591104057074,2.0318468787952675,-34.019630913230515,-19.67005946039081,-10.085536812568876
267,9.405,46.431,0.0,-22.32173074100038,16.474994231224763,8.120109552415993,-4.928644214197028,2.1846132750192733,-34.860700796611845,-21.2419444583478,-10.47317528662992
268,9.405,46.497,0.0,-22.376492024609675,16.58236377532281,8.176319779956241,-5.013923606998006,2.285814091447506,-35.02560888116648,-21.607337503021377,-10.501913056317658
269,9.471,45.111,0.8888888888888888,-1.2388234482969844,1.8936947395715331,0.7539729454801148,-0.03213103639048964,0.5265789590408563,0.05552662269525473,-0.13378218319964552,0.5751630340968639
270,9.471,45.177,0.925925925925926,-1.4302619045757887,1.9131241303078166,1.4075737114343836,-0.031156766448497346,-0.6287960856992832,0.06343816477054778,-0.14440944275282025,0.8473700939146092
271,9.471,45.243,0.925925925925926,-1.762469656677468,1.9485696466643685,1.7694167765038609,0.011764201908192735,-0.736572206825924,-0.2100556803114369,-0.1525065887291735,0.9132897100314135
272,9.471,45.309,0.925925925925926,-2.1611727531960296,2.056437795570022,1.9400763238538077,0.008865604287251704,-0.6431369638650943,-0.6981933206839444,-0.12723231550349118,1.0169483738041256
273,9.471,45.375,0.925925925925926,-2.6429894737901707,2.204440956221871,2.130755652957596,-0.020232569418703106,-0.5424382350785014,-1.1357171120035465,-0.07903555773066734,1.1930758579961798
274,9.471,45.441,0.925925925925926,-3.2987199487013266,2.2723525123406887,2.269894591646647,0.02175728199212624,-0.4890669853893405,-2.022966000423189,-0.0847607528643664,1.3835095130761321
275,9.471,45.507,0.925925925925926,-3.91585772789992,2.5144783876009416,2.3768979475290735,-0.0808034859479321,-0.3754206603816709,-2.4726396814888587,0.05168223746512473,1.6321032855024789
276,9.471,45.573,0.8888888888888888,-4.69098799292321,2.710174361760901,2.4931638029881835,-0.08784376377472299,-0.2864738980772897,-2.7910587629801187,0.16108771473679345,1.8958727898908205
277,9.471,45.639,0.8888888888888888,-5.375242219989833,3.3602921222205975,2.7170350103243868,-0.16672092739657424,-0.053407809127670514,-3.1110355549207385,-1.7903674421455125,2.396015825488204
278,9.471,45.705,0.8518518518518519,-6.254746459862067,10.071810698714248,2.992502982418762,-1.9617184443119922,1.0586928237169018,-8.56970658986926,-4.939371400944813,3.4708354048912793
279,9.471,45.771,0.8148148148148148,-10.092285043754362,12.426553678112572,3.1068292218682676,-0.5312124219860199,0.7525106511642414,-24.789000152157953,-3.0457830814528197,2.537568448889549
280,9.471,45.837,0.6296296296296297,-13.09821056938985,12.214603182355663,2.857594963156314,0.148563952010471,-3.187081025344237,-27.412110466702327,-3.9628101566549234,1.2339181054349173
281,9.471,45.903,0.4814814814814814,-15.407924488658933,12.200520434042545,3.274890181294383,0.15119183608029346,-3.8275927292113536,-28.71865666036647,-5.138283795798602,-1.1543170538705083
282,9.471,45.969,0.3333333333333333,-17.234698178217485,12.294849424595922,3.454596450205309,0.05252445698107683,-4.063800702571528,-29.826629283301532,-6.600781606759338,-1.5495126083695236
283,9.471,46.035,0.3333333333333333,-18.55156888017865,12.391978486062392,3.6581047722633775,-0.1378764117400762,-4.045155592997606,-30.782992856044316,-8.26740010541498,-1.9649471719659692
284,9.471,46.101,0.1481481481481481,-19.655902419121986,12.7825797130528,4.153229749570011,-0.7682559753176323,-3.3116190404823387,-31.240240200566806,-9.875480361537733,-3.1975778388490057
285,9.471,46.167,0.074074074074074,-20.660568206312483,13.565346997910702,5.174887143170498,-2.006219134117197,-1.4296738571028902,-31.336343338169698,-11.618628449039905,-6.380484861706816
286,9.471,46.233,0.0,-21.388464095158422,14.450149878331988,6.324575019943472,-3.3041911480065047,0.7375321342887908,-31.56522765845382,-13.802867237771299,-8.444866422261786
287,9.471,46.299,0.0,-21.845303650917735,15.162542333239262,6.967542692379456,-4.026692733021566,1.6468534293808434,-32.15072813998506,-16.13904486024631,-9.016392017628444
288,9.471,46.365,0.0,-22.266582024320353,15.890302386189365,7.392830655463386,-4.342192466227241,1.889777038053507,-32.95319388547011,-18.24379130305931,-9.435631865214804
289,9.471,46.431,0.0,-22.462876660540836,16.486709509219168,7.819110594399097,-4.713725668418267,2.1732067718031347,-34.208441010356594,-20.486250554942213,-9.97798663888699
290,9.471,46.497,0.0,-22.380829911614875,16.541127539495356,7.9929668043711075,-4.898364219905243,2.2697973420185056,-34.800771945840395,-21.33066698309305,-10.310372115892518
291,9.537,45.111,0.8888888888888888,-1.4387501606287736,2.041295027369162,0.9620764487577551,-0.15228575245904694,-0.40301903821639723,0.04146333202169607,-0.14611573046168114,0.7391642265207667
292,9.537,45.177,0.925925925925926,-1.5583979717908591,2.0690426007258065,1.4123253546916792,-0.1492649589179716,-0.6252804085036718,-0.0875709119344289,-0.13811077291624763,0.8805740060007777
293,9.537,45.243,0.925925925925926,-1.8545807955370606,2.108075588430383,1.7515924115410182,-0.11082473710512011,-0.7018223492071133,-0.6205055171363942,-0.14226657490144612,0.9125940860373466
294,9.537,45.309,0.925925925925926,-2.2557272158835664,2.1776354172518158,2.0052482702837278,-0.09267638193393804,-0.6367539288673233,-0.7008971087846051,-0.13264478248018585,0.9943877368574437
295,9.537,45.375,0.925925925925926,-2.7085009208632695,2.32403098684934,2.333167352332546,-0.1423465960908257,-0.39486974030470656,-1.1249254769210082,-0.05593752345099856,1.285266616531627
296,9.537,45.441,0.925925925925926,-3.3989129808897296,2.3587749340874,2.504762718670618,-0.0610502610805717,-0.33929715399443006,-1.523173271253154,-0.04419951545059273,1.4948553807954341
297,9.537,45.507,0.925925925925926,-4.07680143648269,2.5905578878587,2.5867669499437933,-0.11737184935872105,-0.22501160939944365,-2.5052122612309393,0.13754804152568623,1.886318596761963
298,9.537,45.573,0.8888888888888888,-5.081225551752435,2.640866971983548,2.661819896795871,0.06482052325092166,-0.21922696240635664,-2.8854665142837415,0.11768108328108393,2.146733377897421
299,9.537,45.639,0.8888888888888888,-6.135833278631081,4.084212406852911,2.7872987326790764,0.23020586814406532,-0.11167989019640474,-3.2360776963234086,-0.7701675301914039,2.5927990728952177
