fid,X,Y,f,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
249,9.405,45.243,0.4482758620689655,0.19887237451071074,-0.6565650800129679,-0.06934958013056267,0.08386471671055218
250,9.405,45.309,0.5,0.2946877444191049,-0.6852364819230383,0.004696017544059658,0.09173059798041354
251,9.405,45.375,0.5344827586206896,0.3981046364764562,-0.7155330410568278,0.00997165100946318,0.09436597901699764
252,9.405,45.441,0.5517241379310345,0.4538848213784577,-0.7342418399680468,0.009100932092030629,0.09530810056827753
253,9.405,45.507,0.5517241379310345,0.44355512208429687,-0.7261351961784202,-0.0012196381988103704,0.09566775350742698
254,9.405,45.573,0.5,0.38867151108609077,-0.7001915938195038,-0.022095242502986036,0.0959414079871398
255,9.405,45.639,0.4655172413793103,0.3972545668938853,-0.6705901544371475,-0.03862410955597786,0.09565936528911742
256,9.405,45.705,0.4482758620689655,0.4516917540134448,-0.6453317502293008,-0.023913433681991416,0.0938107208281728
257,9.405,45.771,0.3793103448275862,0.43573957138747754,-0.6062570770998805,0.009566271235393255,0.08873797367701008
258,9.405,45.837,0.293103448275862,0.33381646573521395,-0.6113363637475233,0.0013565010110379166,0.07777147679610369
259,9.405,45.903,0.2068965517241379,0.17352844270064544,-0.6279284132388834,0.15791306551983547,0.05539455598014188
260,9.405,45.969,0.1034482758620689,0.00381897345243519,-0.6435677954473733,0.2013373320015559,0.016939216488555363
261,9.405,46.035,0.0862068965517241,-0.18907820064897052,-0.6524566422022058,0.24269835153788794,-0.02708177268811058
262,9.405,46.101,0.0689655172413793,-0.3510057567799024,-0.6571814326480314,0.27237086045195447,-0.05600265159172156
263,9.405,46.167,0.0517241379310344,-0.4864565232767993,-0.6611338770542923,0.30456544954434833,-0.07099908660250905
264,9.405,46.233,0.0172413793103448,-0.5852092135691929,-0.6396893175620513,0.2745471911596842,-0.07902539129488734
265,9.405,46.299,0.0172413793103448,-0.5683753734712962,-0.6186879632282338,0.22223688532379954,-0.08350836005452683
266,9.405,46.365,0.0172413793103448,-0.5184082370882662,-0.6015755427628624,0.17894102162097308,-0.08686012477301541
267,9.405,46.431,0.0172413793103448,-0.5102857014713194,-0.5981358509124746,0.17263926504707322,-0.08922732334794303
268,9.405,46.497,0.0172413793103448,-0.5114472724068634,-0.5978327877591034,0.1741214533846691,-0.0910078941685907
269,9.471,45.111,0.396551724137931,0.05922575626692562,-0.6112747370398992,-0.005496035138941632,0.05394992936682284
270,9.471,45.177,0.4482758620689655,0.14800002406651103,-0.6377785998631906,-0.09227602192623596,0.07080216264815711
271,9.471,45.243,0.4655172413793103,0.24912911771280327,-0.6768166700524048,-0.08257170528191021,0.08543058932941817
272,9.471,45.309,0.5172413793103449,0.358822178883792,-0.7183477365156818,0.004397492394503133,0.09291092179540375
273,9.471,45.375,0.5344827586206896,0.45860085253556904,-0.7550454068000266,0.04042383978759624,0.09454036950133873
274,9.471,45.441,0.5517241379310345,0.4929597432236959,-0.7695977490123331,0.014785331674003916,0.09486740149358218
275,9.471,45.507,0.5344827586206896,0.4795244182519336,-0.7590013671614757,-0.014536822326717495,0.09447227761099655
276,9.471,45.573,0.5172413793103449,0.4371785543044753,-0.7326303730564487,-0.04514380136183996,0.09412801374842511
277,9.471,45.639,0.4655172413793103,0.44112800810111913,-0.7066636684898997,-0.05590966351983753,0.09293722427289114
278,9.471,45.705,0.4310344827586206,0.4816230236281429,-0.6746926631132404,-0.03693742131714122,0.08933504559722327
279,9.471,45.771,0.3620689655172414,0.4684142967428717,-0.6317002242154564,0.012461719987816627,0.08061743504631763
280,9.471,45.837,0.293103448275862,0.3682208508812767,-0.643526344505339,0.07901811789574495,0.06342599344886875
