fid,X,Y,Ex,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
364,9.735,45.969,0.0182064225516352,-0.26752877735006453,-0.6469650846610135,0.2251589988362509,-0.14319536930688487
365,9.735,46.035,0.0087751330946457,-0.3292314834554418,-0.6314797988118566,0.21971501742726324,-0.15658125477374107
366,9.735,46.101,0.0090160083191054,-0.3905719659587244,-0.6257646718923471,0.2227971023665972,-0.16173264415022415
367,9.735,46.167,0.0057039956841455,-0.44093221547755274,-0.6209431195586916,0.23133694634865049,-0.16669174157156982
368,9.735,46.233,0.0031058636638226,-0.4664566976567279,-0.6065082114884944,0.22076049949463725,-0.19464605512680228
369,9.735,46.299,0.0013871772904403,-0.47775615579040154,-0.5973353210310863,0.21302157888324844,-0.2081258269066753
370,9.735,46.365,0.0004112630047536,-0.48447510048507825,-0.5963562602786625,0.2095021058401521,-0.20785199850144997
371,9.801,45.045,0.6595886961594196,-0.33742744640820854,-0.9011608259126762,0.07253889487273082,0.14263178714683183
372,9.801,45.111,0.7736565752076134,-0.2526941080783245,-0.9895519177733199,0.076733957907405,0.0840773071551292
373,9.801,45.177,0.8686933272255805,-0.14729488748133304,-1.0943437228832418,0.01858684761618537,-0.12025984677949736
374,9.801,45.243,0.9273072993765648,-0.05600526637919571,-1.1782063735037074,-0.046726645089161765,-0.16295015670675372
375,9.801,45.309,1.042728817994365,0.044805946251383455,-1.2667790356861988,-0.011359816522956673,-0.1414183141324747
376,9.801,45.375,1.0832273332921427,0.13964968549074264,-1.3473713999336678,0.05421958217625536,0.12383877287076793
377,9.801,45.441,1.1693873053437542,0.20933361251536026,-1.4031391795039254,0.019750708008106237,0.10083784323117506
378,9.801,45.507,1.1461428881623887,0.2323367739704254,-1.4162791501028331,-0.04433741800300304,0.007547913487640503
379,9.801,45.573,1.0453122135797224,0.2097791926884996,-1.3866129575883603,-0.06698061845581317,-0.02468872896231587
380,9.801,45.639,0.875580614542444,0.19162588718405865,-1.3536911825929532,-0.06445531966001519,0.000927888740360385
381,9.801,45.705,0.603326315517282,0.14452470837398132,-1.1028952712814974,-0.04135290344964404,0.06226997074567105
382,9.801,45.771,0.3489431344245336,0.02354980277424249,-0.7220139537887555,0.044437652022380286,0.025440650013265426
383,9.801,45.837,0.1592669500229176,-0.11188186508363093,-0.6912948584025971,0.2158567303116204,-0.09752090434364917
384,9.801,45.903,0.0608063163721207,-0.2126297261565942,-0.6707934973761549,0.23071689261700115,-0.12260564587231607
385,9.801,45.969,0.0166363871858663,-0.2866840619329214,-0.6506834777013077,0.22063827819304382,-0.14278035274886597
386,9.801,46.035,0.0076997369646815,-0.3433553927066953,-0.634360423252409,0.2093740384271079,-0.15643672566313738
387,9.801,46.101,0.0086153523072932,-0.40147688636370665,-0.6292101986195864,0.20943329073142297,-0.16011868963287224
388,9.801,46.167,0.0056097889560253,-0.4480734601150769,-0.6238539892908999,0.21573153083173557,-0.16260421158979152
389,9.801,46.233,0.0030660167686711,-0.4728743506241281,-0.6093283679230461,0.20393690450586965,-0.19100236727604153
390,9.801,46.299,0.0014077022450264,-0.4859218542757161,-0.6001355337051868,0.1954733362021474,-0.2039310490225691
