fid,X,Y,f,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
627,10.461,46.497,0.0,-5.000212721703831,1.9164853564460103,-0.08276084514787956,-0.7575396023034119,-5.829069214698004,-1.033382221560724,-0.2602089727051756
628,10.461,46.563,0.0172413793103448,-4.992884311832011,1.9395026166431144,-0.09827452860390154,-0.7557187794865166,-6.005929633143071,-1.1270809627880873,-0.2907051666574631
629,10.527,44.913,0.396551724137931,-0.5353632120386711,0.9289379247971785,-0.7535529286419809,0.2126586353638562,-0.26135836445849925,-0.11112646688701952,0.120354572715521
630,10.527,44.979,0.4137931034482758,-0.5310762110974712,0.9429603779174186,-0.7759168056858186,0.22008201483449624,-0.2529165529163788,-0.0833123990000342,0.10341871494475127
631,10.527,45.045,0.4310344827586206,-0.5419139077016972,0.9552809316023315,-0.8079578894150122,0.25642956783249266,-0.25327908615155803,-0.06223625602998389,0.08758153659844103
632,10.527,45.111,0.4655172413793103,-0.5731748362588849,0.9613202840781708,-0.8450941853609749,0.2515832676412161,-0.24200199370549055,-0.05474886673795036,0.08652872709584608
633,10.527,45.177,0.4827586206896552,-0.624752746301789,0.9625024844007349,-0.8895075625154165,0.21715047396075005,-0.2355763578917648,-0.05323863336877509,0.06815567863968895
634,10.527,45.243,0.5,-0.6911976335401548,0.9621779241699475,-0.9476498743790958,0.3210611678802142,-0.24892108239396127,-0.04847951818686544,0.18598022907073117
635,10.527,45.309,0.5517241379310345,-0.778328613840074,0.9579767148661764,-1.022554269275885,0.2599564982539336,-0.20232827463466846,-0.04544542856966892,0.18469712007991684
636,10.527,45.375,0.5344827586206896,-0.858281875513497,0.9541575006473546,-1.1505475068246724,0.2879087389641126,-0.3032690399581795,-0.04790300338382801,0.2411846866321249
637,10.527,45.441,0.5172413793103449,-0.9852311813749289,1.0101539580370908,-1.2949377401449622,0.35650698775869605,-0.7055194693593323,-0.0021162634615504577,0.3125460374098925
638,10.527,45.507,0.4655172413793103,-1.257881305225298,1.0895799464598466,-1.317791654190542,0.3116208917729304,-3.8985287717742665,0.15799877805687945,0.3320384787307471
639,10.527,45.573,0.3103448275862069,-1.5820591982481622,1.0839606876272148,-1.053057236845681,0.029156854597471617,-4.543528436249101,0.1339526356248437,0.3624598667035669
640,10.527,45.639,0.2586206896551724,-1.8984531134575724,1.2128079286450886,-0.2544980692819955,-0.11355875381932572,-4.651973597139435,0.1592814810910565,0.3436617574373252
641,10.527,45.705,0.1724137931034483,-2.237757542733454,1.3357571294088462,-0.1561196806069083,-0.12959004737274238,-4.662679224614316,0.20830068522774198,0.20873090301424552
642,10.527,45.771,0.0689655172413793,-2.548088298379798,1.4369567936745178,-0.15034651009026223,-0.15174094494264903,-4.641344186687217,0.22952080170888284,0.17920066925878986
643,10.527,45.837,0.0344827586206896,-2.839389427733856,1.545699781744665,-0.14136305363643675,-0.21953907593304933,-4.853865700317288,0.19433053182703974,0.13353152397483647
644,10.527,45.903,0.0172413793103448,-3.1471133579586676,1.6761780876739283,-0.1329249913370401,-0.32626060597755935,-5.154415209074981,0.10683890546148225,0.07101825713498708
645,10.527,46.101,0.0172413793103448,-4.651154063048271,1.8921264353357297,-0.02501111756254248,-0.8817969785148154,-5.948530656930976,-0.5167129889008281,-0.20149930955796708
646,10.527,46.167,0.0172413793103448,-4.769416450956152,1.8637578534564678,-0.008508230264699317,-0.8912578149413486,-5.840375841637458,-0.5561300480726643,-0.21950155543143657
647,10.527,46.233,0.0172413793103448,-4.853202981284047,1.836547751151153,0.0020348638366376754,-0.8817643654370146,-5.797003545029037,-0.5967023300445801,-0.2300916896426487
648,10.527,46.299,0.0,-4.917343312963141,1.819195462345276,0.0019832302762964743,-0.8533416354788681,-5.710829891766879,-0.6519189644654297,-0.23744179203897106
649,10.527,46.365,0.0,-4.958795084991459,1.808119642652132,-0.0010623583312406497,-0.8234390863775694,-5.628132061114135,-0.7215328279526342,-0.24849695957960394
650,10.527,46.431,0.0,-4.9801571857927005,1.80770272232653,-0.007153204851131255,-0.8008278199282611,-5.617125574902667,-0.7994414177686247,-0.2597729706359255
651,10.527,46.497,0.0,-4.98991921506331,1.8265674579435656,-0.02265880445648427,-0.7839293013584154,-5.5470791563255695,-0.8753900434672018,-0.26410899191033055
652,10.593,44.913,0.396551724137931,-0.5242639642416981,0.9103591834219904,-0.7244406405594785,0.22471030689954086,-0.26060361048691405,-0.12385253775392127,0.1489999798266929
653,10.593,44.979,0.4137931034482758,-0.5039990398832606,0.9303772817156798,-0.7556247539018509,0.2170732516422678,-0.2414251128942851,-0.08780089479188177,0.11505438923485464
654,10.593,45.045,0.4310344827586206,-0.5056225991390181,0.9421977219745159,-0.7889259964643681,0.24436768385296273,-0.25725422589726266,-0.07220736930468798,0.09388750148351585
655,10.593,45.111,0.4482758620689655,-0.5259203410739606,0.9495916828468551,-0.8307509120474064,0.2410655693845899,-0.25045143238191364,-0.06474156317807639,0.07881757290816235
656,10.593,45.177,0.4827586206896552,-0.5730777389479078,0.9457913552402085,-0.8744173823423793,0.22236792683185638,-0.2516974636811337,-0.06723433239247027,0.055768239937829686
657,10.593,45.243,0.5,-0.633571632832273,0.9368731962992234,-0.9331716863971098,0.29754630267392845,-0.26735222456606045,-0.06526627676138684,0.15084221111843957
658,10.593,45.309,0.5517241379310345,-0.7037385539068531,0.9219382408728396,-1.0198288865758263,0.1535653720785322,-0.22072040149837646,-0.06476953351207053,0.14716741470372385
659,10.593,45.375,0.5344827586206896,-0.734612168123248,0.9173733919310865,-1.19448186496435,0.09534060201596911,-0.33196030726546877,-0.06961230003230079,0.1961344754506885
660,10.593,45.441,0.5172413793103449,-0.8232625699117578,0.9971110930108655,-1.3770230084707644,0.11492724009617515,-1.0764967313908516,0.07945519394266178,0.3598403462204636
661,10.593,45.507,0.4827586206896552,-1.1380483148134397,1.1476135032169288,-1.3743796679929514,0.09391875270098934,-3.5014640716420757,0.374535095207287,0.4757418717082687
662,10.593,45.573,0.3275862068965517,-1.500929783505348,1.0415426636952247,-1.1919722656049165,-0.010211601896127895,-3.9188418519202575,0.24161118282498442,0.44526292178038684
663,10.593,45.639,0.2758620689655172,-1.7774438312368916,1.0598209064065403,-0.393390184049617,-0.08789624318984815,-4.400117622877281,0.18318577276326956,0.3070760878870302
664,10.593,45.705,0.1896551724137931,-2.060452253971719,1.155130531761317,-0.15023346204339613,-0.09004023429151056,-4.395331953222261,0.21285399035515057,0.19519134493142198
665,10.593,45.771,0.0862068965517241,-2.3246348152090364,1.260458585960053,-0.15160661029395256,-0.0785978492174506,-4.427599908321805,0.26320318593078573,0.1814531758966768
666,10.593,45.837,0.0517241379310344,-2.533129404689861,1.3553625032971428,-0.15953120371901436,-0.09915280320334376,-4.548711778102797,0.26992806193592855,0.17278718596117357
667,10.593,46.167,0.0172413793103448,-4.794973941646787,1.8344017329010784,0.009014695267416252,-0.8948564140314729,-5.799583093214472,-0.5572212586269014,-0.22552960288027202
668,10.593,46.233,0.0172413793103448,-4.857705212462923,1.8060026829430982,0.02194822090892888,-0.8852958654683666,-5.72777556319514,-0.5715300049230803,-0.23049072561821732
669,10.593,46.299,0.0,-4.91341078186775,1.787158752763085,0.02380193542123778,-0.8597085638038087,-5.635154854417657,-0.6145520864811349,-0.23883336811248035
670,10.593,46.365,0.0,-4.946499186340156,1.7662256108740482,0.027395263967891596,-0.8399936010723654,-5.527000068005237,-0.6843816426372719,-0.25721673614515533
671,10.593,46.431,0.0,-4.95920168546952,1.7586969713097167,0.02689372679539124,-0.8288277610081689,-5.498900388371675,-0.7483640517581737,-0.26990575675226025
672,10.593,46.497,0.0,-4.970360129997095,1.7783657650770297,0.011701970970767242,-0.812783161829375,-5.502123176905673,-0.8001789724440466,-0.27075414371529744
673,10.659,44.913,0.3793103448275862,-0.5171948140526769,0.8913027213764018,-0.6964012030162918,0.23551669033857658,-0.2670392393680588,-0.1377677346531847,0.17045357608644285
674,10.659,44.979,0.4137931034482758,-0.4931134471293622,0.9087096146168726,-0.7232890659040359,0.23639644660494522,-0.250678944072775,-0.1011815783529855,0.13514527861181638
675,10.659,45.045,0.4310344827586206,-0.4769029309503619,0.9274472322232069,-0.7636919088762522,0.23160051320866826,-0.2580452999584467,-0.0808187858590648,0.08949607781234477
676,10.659,45.111,0.4482758620689655,-0.48772140498254135,0.9368558733513643,-0.8084413673160498,0.22858457361091933,-0.23456962728614206,-0.08003806380028053,0.06118536461826014
677,10.659,45.177,0.4827586206896552,-0.5261722546713719,0.9320376006833655,-0.8539059919123313,0.21150954269562583,-0.23817947308609072,-0.08856574812321057,0.06444973403716682
678,10.659,45.243,0.5,-0.5882237486215851,0.9089377726855197,-0.9035762634679341,0.2817546290305638,-0.2668946265974411,-0.10133929516059506,0.10878727892907689
679,10.659,45.309,0.5172413793103449,-0.646795802390091,0.8881213178970311,-0.9937362784262809,0.18012739918994686,-0.3168753500299086,-0.11350854292148974,0.12719891254766758
680,10.659,45.375,0.5344827586206896,-0.6655839015879257,0.8928629775461878,-1.1738543375923505,-0.3424332311376932,-0.5420481904308188,-0.1152002072273545,0.17074850486055498
681,10.659,45.441,0.5,-0.7263163716078399,0.9844392947774654,-1.3663477396721637,-0.20518550911065153,-1.9131406543158038,0.11014913920160582,0.30474246029950636
682,10.659,45.507,0.4827586206896552,-1.0514717262790265,1.106531491602242,-1.371347860391745,0.025662334913200413,-3.478391519201665,0.38014479832604664,0.46749306572130667
683,10.659,45.573,0.3275862068965517,-1.4909116867720167,1.0196080046784832,-1.2297532431670397,-0.0059336012940251325,-3.773519826571738,0.2748944829604236,0.4379041357340303
684,10.659,45.639,0.2758620689655172,-1.7471355633844876,0.995341033909194,-0.5528762765554162,-0.059564840989575804,-4.260441881960416,0.20712578717963742,0.30289368948595596
685,10.659,45.705,0.2241379310344827,-1.9459683995530335,1.0322981539027358,-0.136548868063424,-0.06326260207210742,-4.273628798135729,0.21534197450920217,0.16626156145295884
686,10.659,45.771,0.1551724137931034,-2.1374421597384554,1.1100529107076622,-0.15835563697002464,-0.03037680755045663,-4.308084635178837,0.2727610748413838,0.16011541934575924
687,10.659,45.837,0.0689655172413793,-2.245640633754657,1.162947224881256,-0.1755645741967739,-0.012779973071519235,-4.303246123483729,0.30587097395970886,0.16813361901618834
688,10.659,46.431,0.0,-4.9508660155518855,1.75083511226557,0.033534128963125874,-0.8380465791897787,-5.509003320897813,-0.7361525722633078,-0.2718385499907329
689,10.725,44.979,0.4482758620689655,-0.4735570021122357,0.8844765583312668,-0.6882176356899221,-0.030912611228773607,-0.2785898282809913,-0.11993829581976362,0.10017632254074726
