fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
102,8.943,45.903,0.3529411764705882,-4.3370527389567055,2.9254320518553154,1.3481246968425171,0.6373238192782992,-1.8149294406404484,-8.376549799998827,0.7501097333495956,0.08744859227810015
103,8.943,45.969,0.2588235294117647,-4.753327150575069,3.0012018813629577,2.0942153063806517,0.580200039678999,-2.1136456801172407,-8.55372403389097,0.7267561860618368,-1.3044930921356392
104,9.009,44.913,0.4,0.31361914990145834,-0.17885692982162482,0.2840389961767361,-0.8860581109726997,-0.2680443595293009,-0.06780748360625316,0.4587408367404045,-0.047534022478657956
105,9.009,44.979,0.4470588235294118,0.30133435718638646,-0.13953667768135886,0.6324149362482729,-0.8354928290473658,-0.45999423912032794,-0.06453534485764753,0.4446254056081229,-0.03698007716598985
106,9.009,45.045,0.4941176470588235,0.25299074705056857,-0.1127667986395941,1.1369125279463117,-0.790211883575244,-0.9941273069904415,-0.06460555066625565,0.4570802057170275,-0.039080295144868944
107,9.009,45.111,0.5176470588235295,0.18417639840316435,-0.0863192457408139,1.144984968218586,-0.759251102691983,-1.1491539854697421,-0.0609450782297565,0.4485791867606216,-0.02168354417198183
108,9.009,45.177,0.5294117647058824,0.07933498594210381,-0.023366165121173253,1.1215192993511531,-0.6932940996553771,-1.1588667792744873,-0.08939135687784104,0.687884932225161,0.07409488379526977
109,9.009,45.243,0.5529411764705883,-0.05363013111277193,0.13334698423365848,1.0385201102423876,-0.5642079168116032,-1.113440944690957,-0.42670555767944196,0.9810089527287699,0.2558188481686942
110,9.009,45.309,0.5647058823529412,-0.22931680338268612,0.29806251271075207,1.0824488695649803,-0.41691465976074815,-0.6744921674534112,-0.551182409027204,1.3113104271508815,0.3484768891764283
111,9.009,45.375,0.5882352941176471,-0.5154561363497934,0.32447989511593656,1.1881337662638143,-0.24626886346255863,-0.35749272346939737,-0.6853432099253329,1.3455218369334745,0.30180356400110325
112,9.009,45.441,0.5882352941176471,-0.8998502509658756,0.27259993501996854,1.1890680198590295,-0.09296740057599595,-0.36056631962170393,-1.032630949126121,1.2673423099129553,0.28620358984961547
113,9.009,45.507,0.6,-1.2525010492703132,0.6017519688376329,1.2298207709404696,-0.05144843265984083,-0.3298976815146959,-1.0450387073178216,0.9707753224268336,0.33358898313987084
114,9.009,45.573,0.6,-1.5738353882666125,1.4529367887001416,1.276087434884367,-0.11376923458441233,-0.2931578198333157,-0.9915631498109552,0.696904332873333,0.3991217891935784
115,9.009,45.639,0.5882352941176471,-1.9176380977435228,1.1463868605191445,1.344359696801054,-0.2937009765077453,-0.22705890877320742,-0.9069301874403992,0.6622716433729792,0.49587010375180474
116,9.009,45.705,0.5411764705882353,-2.359827744346826,2.072806908182964,1.4698112339753036,-0.8776035232860055,-0.05550271845064561,-2.292877518505329,-0.06772972132567978,0.628057757920355
117,9.009,45.771,0.5058823529411764,-3.2710271125450583,3.81347358144161,1.4803057890039133,-1.3501034746107157,-0.010512037058520423,-9.314255952413351,-0.30275926706343015,0.5472987516393258
118,9.009,45.837,0.4117647058823529,-4.354615342772854,4.565739472763106,1.3181127500681444,-0.1751754565306119,-0.6060370356194096,-9.766063266278923,-0.33976726165565735,0.3014987529773816
119,9.009,45.903,0.3647058823529411,-5.073485127604739,4.608637953859983,1.5126736278883597,-0.007529588196176601,-2.1132848498273953,-10.240833158701287,-0.7744662191469603,-0.2582462917069574
120,9.009,45.969,0.2588235294117647,-5.7706700771467645,4.8123848736038415,3.6152969761890903,-0.16309999032198563,-2.393680413263743,-10.697714840127317,-1.0983509309360793,-2.45086676942234
121,9.009,46.035,0.1647058823529411,-6.534584850404305,5.48946012460102,4.707749321402092,-0.5087736617578935,-2.404192600138666,-11.46132016906985,-2.0557768271844314,-3.360977971638934
122,9.075,44.781,0.188235294117647,0.37829489912660813,-0.46484381379544937,-0.12635773046195306,-1.7111841392327536,0.09971949395827931,0.02831153068935585,0.4106753104159302,-0.001882820047624837
123,9.075,44.847,0.2588235294117647,0.35117714046334725,-0.2252678075182635,-0.12915958960325344,-1.5887395783438558,0.10423249767115558,-0.06398762541468435,0.3914589898316186,-0.042364318521048695
124,9.075,44.913,0.3529411764705882,0.30253925149076855,0.0007270387491295459,-0.08997415956003885,-0.9286487210148727,0.14957944306137716,-0.05897022341206849,0.4809774242496001,-0.03887769334282532
125,9.075,44.979,0.4352941176470588,0.2682134416441084,0.05373042411159436,-0.04692727697043391,-0.7009234544646791,0.19138787565193432,-0.054650813432720644,0.46333043371423355,-0.02501550000346427
126,9.075,45.045,0.4823529411764706,0.18616166640546505,0.07117813714691729,0.38124983817544816,-0.610496508775879,0.18758705634979408,-0.06197341977617022,0.4842204501454249,-0.03632511447393145
127,9.075,45.111,0.5176470588235295,0.09867430615714333,0.11514418766488155,1.1051536956977672,-0.5634428326124212,-1.0078219598373204,-0.05761886525309907,0.5069976866135546,-0.01514073123929411
128,9.075,45.177,0.5411764705882353,-0.02981668327622003,0.21352298696491262,1.1038306035564145,-0.4662886122961628,-1.1407688027940266,-0.0667232457316,0.6340899787185443,0.07641771665029518
129,9.075,45.243,0.5529411764705883,-0.1826988501876155,0.353051349090473,1.0597395029693288,-0.36756634769175295,-0.749041467247889,-0.3710582558364771,0.8333473726291601,0.2312041373004157
130,9.075,45.309,0.5764705882352941,-0.3770077392172455,0.47122383747276686,1.1662861266553337,-0.2918668841311459,-0.36710957880286915,-0.5483699703198348,0.7943378193347578,0.29333325121391696
131,9.075,45.375,0.5882352941176471,-0.721793901636899,0.46734717587847807,1.1549895778303263,-0.14760764994291986,-0.37399031864933413,-0.6197622481038743,1.3485399790421788,0.2524526525776787
132,9.075,45.441,0.5882352941176471,-1.1685333100566284,0.5968531339576657,1.1678700902017523,0.0010474408591390483,-0.3683057496358724,-0.7957728370568744,1.224502061015386,0.24463021223074158
133,9.075,45.507,0.6,-1.5298178572328647,1.9820191258840185,1.2135367028856474,-0.021233103632017723,-0.3346647175769232,-1.0234844178540092,0.8761652232854525,0.29980450511677015
134,9.075,45.573,0.611764705882353,-1.889664003107582,2.1390535491226284,1.2524738351791216,-0.13526189484820395,-0.30356640678631824,-0.9450713333681721,0.5971897819243104,0.35921834409475484
135,9.075,45.639,0.611764705882353,-2.32595331413184,2.473167096768963,1.305212780232202,-0.30800117921555215,-0.2521365328808426,-1.0719415718208742,0.0400670061237163,0.42731804061372675
136,9.075,45.705,0.5647058823529412,-2.9263203276511156,4.013809535607162,1.365507236717126,-0.590884062362621,-0.16168601932284288,-7.957849822480411,-0.8387281684613035,0.4741694085589587
137,9.075,45.771,0.5176470588235295,-3.8763852269630763,5.107985107613389,1.375093750973451,-0.6004944107489957,-0.15488435566894304,-11.616290630234563,-1.263960324607753,0.4427095688073732
138,9.075,45.837,0.4,-4.846671322259273,5.405391342540553,1.3179278624668642,-0.04477615693602855,-0.930582152791482,-11.559982558891146,-1.5609265411118054,0.34774349001267835
139,9.075,45.903,0.3647058823529411,-5.648254218310377,5.5349012002106805,2.13681171969097,-0.13568626871989475,-2.6076152715054493,-11.866209828977208,-2.0206073537729887,-0.6844247386563915
140,9.075,45.969,0.2470588235294117,-6.485966223411445,5.822109156438149,4.438490143270858,-0.4096867404506802,-2.5993312515818507,-12.136767608336706,-2.468641589947447,-3.2054236780221865
141,9.075,46.035,0.1529411764705882,-7.208831007523831,6.309153927026037,4.9461197139281765,-0.7567747880157225,-2.516180967513302,-12.581640733800832,-3.258080587238198,-3.733727946819142
142,9.075,46.101,0.0705882352941176,-7.812672431775782,6.758844404546889,5.26787514188244,-1.0912327974417526,-2.468206702963368,-13.196819233219113,-4.135571220550257,-4.075321409923648
143,9.141,44.781,0.1058823529411764,0.3786731814729256,-0.4949523792652713,-0.10903377707227978,-1.7589338221869515,0.11621266549495708,0.09534736445281444,0.4520821382364569,0.011034174798641501
