fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
252,9.405,45.441,1.113850672607271,-0.049933833167154565,-0.08486337590594109,0.22689392035781092,-1.1814981793132595,-0.0537309580843148,0.1183177896229218,0.37061752636272355
253,9.405,45.507,1.1747547622680872,-0.03692082178364101,0.039942424609133206,0.22913556661720896,-1.2046389549014669,-0.035292001585861515,0.09404916550070903,0.42191703001538927
254,9.405,45.573,1.0950457657841537,-0.04710325152301339,0.037856699680453285,0.2277200853984111,-1.2015661987508466,-0.056231918888840174,0.014379668840389225,0.3440566219564567
255,9.405,45.639,0.9874721988920904,-0.0537940449592567,0.18888099631982974,0.23368361203538401,-1.1912945321669406,-0.04862961204359493,0.03105610454795145,-0.30147728458083556
256,9.405,45.705,0.7943614897620686,-0.06673276315867151,0.649952732665944,0.25006162145656224,-1.1820693911678894,0.007668532508044352,-0.08700790238467568,-0.8217297235003561
257,9.405,45.771,0.626256471825303,-0.13418249864192056,0.7562078890327897,0.25510299241467416,-0.7287549353411761,-0.012988533541029638,-0.5970735115060881,-0.7962773538148848
258,9.405,45.837,0.4174871036506143,-0.227615934251037,0.7832824073737693,0.25157525581139667,-0.6018574241387278,-0.034456762029274564,-0.612166792973026,-0.7911646718266776
259,9.405,45.903,0.1909793050244106,-0.31752305635711014,0.8287389558428149,0.3675141718751989,-0.5962714887317432,-0.09605937498198816,-0.5298152794801179,-0.7391588397041513
260,9.405,45.969,0.0731813344969969,-0.3852205902100744,0.7923806375781749,0.3760252419784292,-0.5750685662210817,-0.1616622983682689,-0.5008932651661383,-0.7727292306977721
261,9.405,46.035,0.0419659418831124,-0.45026913141359926,0.7466147389714306,0.3722296945018897,-0.5602439587073385,-0.1818283137342352,-0.4286833423266582,-0.8014146529192014
262,9.405,46.101,0.0217505011450379,-0.5182618728538901,0.7432129019487927,0.35822387755321916,-0.5467547053040943,-0.09189783989944479,-0.23254467403966864,-0.7378795551682331
263,9.405,46.167,0.0152209441501763,-0.5719424779419593,0.647485173030105,0.3190745757799615,-0.5176831872786309,-0.07333398113100037,-0.11894577426877498,-0.7737617452793737
264,9.405,46.233,0.0075151377974322,-0.6025372046407209,0.5790142263650957,0.23152621500995937,-0.471153228434451,0.017283297493137638,0.06026729535594386,-0.7547371013813077
265,9.405,46.299,0.0033858056371289,-0.6113158338340269,0.4406046230610254,0.17311608411893048,-0.44419888801761026,-0.02317978711898099,0.0821379407258642,-0.8732756154788898
266,9.405,46.365,0.0024797575902244,-0.6121961652203227,0.40415790824609393,0.15172119176144985,-0.4341080791807212,0.03037947550791971,0.1759497984227504,-0.8754243054047748
267,9.405,46.431,0.0018034190947781,-0.6177142624289087,0.3538458506849774,0.14454797123071483,-0.4314640183339058,0.03196181511992233,0.20991428169447227,-0.91320882887473
268,9.405,46.497,0.001361734459901,-0.6210514478728826,0.34455121650985676,0.14445588575586557,-0.4315124199751931,0.03398861577569359,0.22062080160995487,-0.9132437484097863
269,9.471,45.111,0.6326898664501193,-0.21490345698260122,-0.3442373501370756,0.5404169022622942,-0.9997070051379078,-0.09005834498316345,-0.14279153624775642,0.2806157113453042
270,9.471,45.177,0.8002742638308769,-0.1987023308004767,-0.29763445906934477,0.22585438497873714,-1.0387363505143439,-0.0344804965876568,-0.10788453575777038,0.3200534031869798
271,9.471,45.243,0.9118267680479216,-0.17612743436437767,-0.2693742171940617,0.20057244568795896,-1.0751236974680705,-0.03533719225199135,-0.2067682876047356,0.3173815674383299
272,9.471,45.309,1.0218347314863832,-0.14387235801010143,-0.22239240547663858,0.2303949413477296,-1.116876287649263,-0.04067843860636429,-0.3660838862207283,0.32171824833013646
273,9.471,45.375,1.1060522174740557,-0.1018343896250819,-0.13025284560134562,0.24943399028194788,-1.1677036538729282,-0.010227809358402905,-0.42665390279575643,0.35746760945190037
274,9.471,45.441,1.1492136715674752,-0.06869499012269387,-0.050378313604894295,0.25464985105589,-1.208748390701842,-0.011291420743587459,-0.030592550259364297,0.38667836304523784
275,9.471,45.507,1.1763553309288053,-0.05525734956761312,0.05084625264255382,0.24924333251046324,-1.2272780570355604,-0.005869785935205163,0.11574498677007553,0.4484511439453991
276,9.471,45.573,1.1305678473962408,-0.06272056427839605,0.07602519835511076,0.2467933239346444,-1.2207553199860979,-0.03821756189988052,0.04175328273938667,0.4593100684678213
277,9.471,45.639,0.9920625957598462,-0.05625853507257484,0.08487250168988808,0.2612158408011595,-1.2160017102623244,-0.028406483697442832,0.038490090942693164,0.12396222547212828
278,9.471,45.705,0.7785593940384062,-0.06667683886008086,0.5788801439867656,0.2848115844118829,-1.1479218898292562,0.06832399252849818,-0.07262587959957213,-0.9729012753480608
279,9.471,45.771,0.5862737168161618,-0.14022262548677003,0.7691738123298182,0.3039531558730334,-0.653953159550235,0.12370021779769409,-0.5569109258440991,-0.8244946124604473
280,9.471,45.837,0.3406883041017599,-0.24928972698061214,0.8147293535868394,0.31434852826993326,-0.6050163546846001,-0.010873378042565014,-0.5566302180143076,-0.7882251693711243
281,9.471,45.903,0.1420489605424544,-0.3399176634551011,0.8330507556095489,0.37472747955420405,-0.5928934797168479,-0.060573018333055,-0.5043572739024794,-0.7630992999879103
282,9.471,45.969,0.0548584562798797,-0.40460157656299656,0.7715642518944732,0.36326537265670206,-0.5718776401306258,-0.13716531948979094,-0.5034568857951716,-0.8222403926331816
283,9.471,46.035,0.0313184144425088,-0.4657032876468651,0.7244825173069221,0.3545045963492087,-0.5558102106549502,-0.16133001412477388,-0.4364863532208932,-0.8543769570953528
284,9.471,46.101,0.0187265660894658,-0.532218352842728,0.7197894769218669,0.3367695102189866,-0.5409061455730939,-0.08473635155675902,-0.2515338776720869,-0.8002647769638843
