fid,X,Y,I,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
100,8.943,45.771,1.5655775082796342,3.2164282698675875,-2.4590506419984197,0.614486291084568,-1.0826678872861937,9.035309028761388,-0.3342162390424486,0.2236749533865413
101,8.943,45.837,1.222036093707478,3.748041087342605,-2.6481375540538856,-0.433046294605019,-1.0827220280793661,9.278464105456806,-0.5243136961330161,0.2601410439287394
102,8.943,45.903,0.8058721686065795,3.9934133532073313,-2.4913742968534374,-0.6214974186960219,-1.0827746407508603,10.173263385422153,-0.328271814617236,0.21830742571223266
103,8.943,45.969,0.5508176119755219,4.067957886514261,-2.3667443460327737,-0.6502867421207426,-1.0828257698959112,10.724159023777482,-0.14301115517568674,0.15442137382393
104,9.009,44.913,0.8407447482145328,1.452537135759762,-1.0806681842169021,-0.7993079946355588,-1.0817206079355783,0.01312626899727147,1.862572879972472,0.3011407068571324
105,9.009,44.979,0.938176939252209,1.4562114572950138,-1.1486123292452854,-0.6895741783487789,-1.081804882386566,-0.00014660062835336347,1.8418771571918306,0.2016047102044866
106,9.009,45.045,1.2127233798447703,1.4660684443892213,-1.199312414054336,-0.6440988500648921,-1.0818862766995474,0.005466765611554902,1.8532864758463412,0.1568290397263012
107,9.009,45.111,1.3423950275990335,1.4728882674193642,-1.2704584038696414,-0.5877092995466895,-1.0819646187506498,0.013890892701193694,1.7627021290504148,0.14675491778121286
108,9.009,45.177,1.4736038254278925,1.5235520933380042,-1.3586352313399976,-0.5402297418667069,-1.0820408377824275,0.06876877592612268,0.49501056328688087,0.10775256940321508
109,9.009,45.243,1.5247590314377044,1.6663333492800263,-1.4432630103383923,-0.5762417960014632,-1.0821149515769153,0.390123529222087,-0.4842742155657418,0.015011070690407288
110,9.009,45.309,1.5957703581124014,1.8712289190191869,-1.5083604083392785,-0.6840679589513028,-1.0821869859219668,0.5650042055381828,-0.48468248116038193,-0.069953435425579
111,9.009,45.375,1.6805459169269623,2.1445385340928373,-1.5461561828674983,-0.8381582889649152,-1.0822569731377019,0.7680748278674525,-0.4830943536842637,-0.18425749403976083
112,9.009,45.441,1.7115132443299237,2.460326419750645,-1.5229340634858146,-0.9857182140215208,-1.0823249508028276,0.5377970646816346,-0.3904856930025812,-0.4515551908251582
113,9.009,45.507,1.6965024506319983,2.6160475571500204,-1.7354297333693478,-0.9797253501752977,-1.0823909606580082,0.5634236509075392,0.10881736699950734,-0.7071960833946344
114,9.009,45.573,1.6500671353498468,2.607459172693464,-2.1205741490257966,-0.8384451581507512,-1.082455047665389,0.6511282909917855,0.7354818692864156,-0.8034772928208138
115,9.009,45.639,1.531958771997714,2.481003983186021,-1.6195770325714571,-0.46918219401374106,-1.082517259205243,0.4557689361298399,1.1236236366815546,-0.6187643432359727
