fid,X,Y,f,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
306,9.537,46.101,0.0352941176470588,-0.10438457146161731,-1.0235593907367448,0.2555234059389476,-0.18832142636756471
307,9.537,46.167,0.0352941176470588,-0.21544354624067905,-1.0506831970301929,0.25973605269771183,-0.22122071333747273
308,9.537,46.233,0.0117647058823529,-0.29158861821951454,-1.0590591705020231,0.23084271186779237,-0.27411636096527214
309,9.537,46.299,0.0117647058823529,-0.31145024753407835,-1.0474410883833856,0.1991319533621333,-0.2954120620134601
310,9.537,46.365,0.0117647058823529,-0.3128416626252054,-1.0387387185664945,0.19419747027731676,-0.2956637897864358
311,9.603,45.111,0.5764705882352941,0.3565997598276869,-0.5152444371079563,-0.00800323910115508,-0.10576797646911572
312,9.603,45.177,0.611764705882353,0.39172668745500194,-0.5494523063888106,-0.047477404015114286,-0.023058968676189992
313,9.603,45.243,0.611764705882353,0.4240926769351726,-0.5756773698633082,-0.09783678571324207,0.05875198535585846
314,9.603,45.309,0.6588235294117647,0.47050222519335433,-0.6132694875682114,-0.053672940441011646,0.09035478554684577
315,9.603,45.375,0.6705882352941176,0.5142782940870434,-0.6449975815641227,-0.038864426378559955,0.07719184689941672
316,9.603,45.441,0.6823529411764706,0.5425075943490798,-0.6606459201410473,-0.04262902565421337,0.05934571993832939
317,9.603,45.507,0.6941176470588235,0.5698392748349124,-0.6764527319830305,-0.05237301145393637,0.058179583597465584
318,9.603,45.573,0.6588235294117647,0.563798669788867,-0.6588741961930225,-0.0721138908644447,0.0360731617567968
319,9.603,45.639,0.6,0.5533704188223219,-0.6177449338250631,-0.08195913833182311,0.02920416054280611
320,9.603,45.705,0.5529411764705883,0.5673280607646455,-0.6497023734101648,-0.07517149985328,0.04343262304642326
321,9.603,45.771,0.4352941176470588,0.5642009494585262,-0.8176541267163603,-0.06412264617421262,0.027718519167893675
322,9.603,45.837,0.3176470588235294,0.4964355155642141,-0.87491618336291,0.018420903803431456,-0.10164685208248937
323,9.603,45.903,0.1764705882352941,0.3307600069531828,-0.9573165163976799,0.15084215453707733,-0.12697513164095087
324,9.603,45.969,0.0823529411764705,0.15876132868735637,-0.9988109469749559,0.20643168345611812,-0.15117341764370962
325,9.603,46.035,0.0470588235294117,0.02491668247305779,-1.0116942879455486,0.2132400698341298,-0.17181797885014594
326,9.603,46.101,0.0352941176470588,-0.09859524858894002,-1.0325785772519733,0.226746621577116,-0.19501197510000068
327,9.603,46.167,0.0117647058823529,-0.19768147546045892,-1.0535893090075121,0.23589927044116799,-0.22713790967916953
328,9.603,46.233,0.0117647058823529,-0.25165800838246827,-1.051048667383074,0.2011271524396003,-0.2844466279015516
329,9.603,46.299,0.0117647058823529,-0.2701735170053311,-1.0419774005394116,0.17428033757974326,-0.3026072795819502
330,9.669,45.045,0.5529411764705883,0.32195866719655014,-0.4619205677378081,0.006206028262387635,-0.13974431823523362
331,9.669,45.111,0.5882352941176471,0.36531807894087065,-0.5084948599747803,0.021332915536016177,-0.0907695668284849
332,9.669,45.177,0.611764705882353,0.40469174433585786,-0.5469839103495838,-0.011114684459574371,-0.043786243163525286
333,9.669,45.243,0.611764705882353,0.43222359096911844,-0.5699394655585113,-0.10099168625440857,0.039415499119625566
334,9.669,45.309,0.6470588235294118,0.4807432555702912,-0.6114622832631049,-0.06159824830062523,0.09080506699892427
335,9.669,45.375,0.6705882352941176,0.5260392044118525,-0.645172571688528,-0.048237954230996236,0.046418964377040454
336,9.669,45.441,0.6823529411764706,0.5570357880315916,-0.6626867953956235,-0.04605765760779418,0.03683318316545168
337,9.669,45.507,0.6941176470588235,0.5850890386671843,-0.678489116571809,-0.05305662718350603,0.03863393827764248
338,9.669,45.573,0.6588235294117647,0.5782571846307718,-0.6619742230803567,-0.07416807041506143,0.013435791610018377
339,9.669,45.639,0.6,0.5620824468265011,-0.622962820339405,-0.08415101402890346,0.004369085258388524
340,9.669,45.705,0.5529411764705883,0.5636943750318975,-0.6590911658413969,-0.07847508362193514,0.013657055948955735
341,9.669,45.771,0.4117647058823529,0.5484678718267,-0.8550316724044529,-0.06493519262566574,-0.015197038281369094
342,9.669,45.837,0.3058823529411765,0.4763583795076294,-0.8963329109318713,-0.007142175620479221,-0.16876358172516526
343,9.669,45.903,0.1764705882352941,0.31386386910419695,-0.9726095101490702,0.12551831426989474,-0.14581140309129972
344,9.669,45.969,0.0705882352941176,0.13498222343604588,-1.0193050811036408,0.19531481647557944,-0.1532755737176516
345,9.669,46.035,0.0470588235294117,0.012917425221754378,-1.0234042507281331,0.19368143427735068,-0.18378189258185884
346,9.669,46.101,0.0352941176470588,-0.10597912856357988,-1.0420389973024975,0.20950294762189042,-0.20131385227603701
347,9.669,46.167,0.0117647058823529,-0.20522562774286507,-1.0655743962149566,0.231999357146914,-0.2142299934209973
348,9.669,46.233,0.0117647058823529,-0.2514968519696719,-1.0590191613731499,0.1965850616523398,-0.2732294595250556
